,Week,AdvertisingSpend,CompetitorPrice,UnitCost,PriceLevel,SeasonIndex,Sales
50,51,157,139,63,93,-0.09153384391325395,508
51,52,104,86,60,164,-0.09717975028566483,375
52,53,293,84,78,185,0.0830427611610586,512
53,54,113,124,85,138,-0.002172161743684481,353
54,55,298,137,84,96,0.47346470715778943,618
55,56,180,110,69,199,-0.07778375768145579,437
56,57,278,102,112,100,0.6890958055925427,496
57,58,100,121,74,181,0.4316092921866331,406
58,59,184,89,118,143,0.5983949211349705,449
59,60,70,111,81,194,0.9545343967633771,339
60,61,122,132,110,176,0.9090893440131099,394
61,62,216,109,107,134,1.2511925161073507,528
62,63,67,118,80,112,0.6800907656722552,423
63,64,181,110,118,117,0.9684971784329156,511
64,65,138,81,115,196,1.2666319351033453,357
65,66,109,91,81,146,1.1010687972234736,379
66,67,63,118,95,115,1.0986200934648909,378
67,68,291,145,93,114,1.267429100200385,587
68,69,299,92,89,143,0.7635832909923519,476
69,70,58,125,84,118,0.6379346027569759,192
70,71,139,106,104,172,0.921282079250802,448
71,72,102,96,87,186,0.6182932124374688,263
72,73,179,139,60,125,0.9047258170404714,615
73,74,133,143,108,103,0.5756552031782853,446
74,75,141,114,104,167,0.16759968295545755,327
75,76,160,149,63,124,0.3408308723309013,501
76,77,237,109,66,119,-0.1502732190114371,526
77,78,248,142,108,181,0.2840785405071173,396
78,79,221,107,68,106,-0.5396823722197694,462
79,80,57,139,95,156,0.12730391797129742,247
80,81,224,116,78,169,-0.25834193368716224,462
81,82,84,101,60,199,-0.5140914629305701,270
82,83,255,147,69,119,-0.3390645014509932,502
83,84,130,99,95,182,-0.5097246649920886,308
84,85,213,147,68,134,-0.34939624247368245,455
85,86,99,143,104,168,-0.42666534438761555,375
86,87,153,96,105,199,-0.7797688924033231,272
87,88,181,91,101,178,-1.1965474490978871,343
88,89,51,101,91,140,-1.1333945175599245,231
89,90,183,96,91,191,-1.0142029398415484,389
90,91,103,89,65,195,-0.6754834916814718,259
91,92,155,144,107,136,-1.1296248124992967,336
92,93,53,101,97,142,-1.0828239735550933,193
93,94,103,129,76,153,-0.3805110539051869,187
94,95,270,93,69,127,-0.9167455790665283,378
95,96,240,143,109,153,-1.0134034329736379,392
96,97,195,126,86,176,-0.5155169396528569,406
97,98,267,108,113,178,-0.6799629431286712,333
98,99,93,115,109,195,-0.984944495761225,225
99,100,211,131,94,96,-0.1524489472015565,489
100,101,251,86,111,111,-0.5787166832523186,410
101,102,239,108,118,170,-0.2262399847706861,429
102,103,277,90,80,171,-0.1409784143915317,522
103,104,63,112,84,130,0.06903035204096022,310
104,105,144,85,87,163,-0.5367855415140755,295
105,106,97,111,106,99,0.13878582064778758,407
106,107,64,130,74,146,0.6920560050772459,415
107,108,249,137,63,96,0.8443568280112639,520
108,109,255,105,88,139,0.2706776322390583,500
109,110,264,125,118,191,0.9393021310543397,445
110,111,298,108,68,180,0.5200818218434253,512
111,112,239,83,86,141,0.7106241880774706,482
112,113,89,92,85,122,0.7888607157154344,375
113,114,262,118,78,90,0.967657355597037,596
114,115,257,94,115,197,1.2713517543133108,482
115,116,286,108,87,142,1.0720842349067874,545
116,117,131,108,76,149,0.9621604719028466,403
117,118,160,111,102,123,1.2829022440095188,509
118,119,102,81,116,93,0.7301434003559382,221
119,120,73,126,100,106,0.9118510096450307,388
120,121,203,101,101,93,1.1841903941664682,582
121,122,266,106,109,132,0.9817757294308281,548
122,123,237,146,79,179,0.6086195549376275,577
123,124,173,135,104,93,0.20923562826071562,316
124,125,286,100,99,90,0.6613222039696003,517
125,126,90,126,98,160,-0.008879388527128051,341
126,127,206,138,108,183,0.29085447763518674,508
127,128,64,85,112,139,0.5930001840585593,243
128,129,94,98,82,162,0.2995642741458797,328
129,130,114,136,106,150,-0.6070961934036495,309
130,131,138,148,91,124,-0.06040122895322854,329
131,132,120,82,111,97,-0.33506663866833614,334
132,133,58,80,106,113,-0.73672010726017,96
133,134,137,137,92,172,-0.36421678330313845,375
134,135,178,117,116,125,-0.7155861013683726,288
135,136,285,94,105,139,-0.8087828698326442,407
136,137,185,113,64,132,-0.7112972126430855,452
137,138,265,140,102,116,-1.0107492251641008,464
138,139,112,114,107,121,-0.8567352754932408,298
139,140,188,143,93,167,-1.1130137095743942,404
140,141,292,104,99,107,-1.1324802556128142,330
141,142,130,103,70,117,-0.6948299433093956,353
142,143,185,91,109,118,-0.671598509085917,318
143,144,212,97,62,105,-1.5053051482408417,411
144,145,212,94,117,188,-0.7468199642720863,369
145,146,82,106,92,136,-0.5154389412975839,317
146,147,172,139,70,148,-0.4182429804321375,499
147,148,54,125,75,120,-0.6668699481281207,353
148,149,283,96,77,93,-1.0657301054942718,465
149,150,280,132,89,126,-0.4741284061365356,470
150,151,299,87,107,106,-0.8288404532959306,472
151,152,90,106,114,128,-0.5676127218907666,261
152,153,77,125,69,137,-0.2396802399290908,385
153,154,184,129,77,135,-0.48074346827317915,309
154,155,250,82,97,179,-0.4644567722706603,495
155,156,121,143,78,137,0.13973199554724625,422
156,157,61,123,95,128,0.6807039415490146,260
157,158,211,132,118,194,0.6122859634313985,399
158,159,82,103,72,93,0.5667607425575636,300
159,160,97,139,115,119,0.758478802720689,325
160,161,296,82,105,119,0.7593805958857291,549
161,162,200,99,62,111,0.7980927270636127,589
162,163,111,125,69,164,1.0180961000506934,457
163,164,265,94,97,155,0.4124749382774488,511
164,165,86,104,60,197,0.9453016154860819,357
165,166,148,96,114,101,0.9107317808122621,389
166,167,221,88,115,183,0.9946126667694216,411
167,168,153,117,86,125,0.8542972096740171,442
168,169,263,127,105,107,1.1561463534322696,550
169,170,268,139,67,179,0.7473304711917721,555
170,171,84,142,110,142,0.8107853386084417,355
171,172,242,81,105,160,0.7388522685897856,459
172,173,276,90,101,90,1.1446400168341713,567
173,174,150,143,76,147,0.8194668149309003,461
174,175,224,100,68,179,0.6102610462320737,426
175,176,255,97,65,176,0.5510937497359445,524
176,177,180,143,102,179,0.5692289317352778,410
177,178,50,117,84,198,0.9513756477047235,261
178,179,54,111,98,95,-0.016351213861464986,261
179,180,267,90,108,159,0.4419686635914931,513
180,181,296,124,119,133,0.2620953816646275,465
181,182,191,112,87,161,-0.2648896195340319,327
182,183,152,120,92,113,0.3195253067910861,402
183,184,76,87,113,175,-0.07753152902335295,285
184,185,186,90,96,108,-0.5069248780114619,483
185,186,256,130,68,190,-1.0225471698276438,467
186,187,64,120,77,107,-0.4993206963814235,360
187,188,139,96,115,184,-0.6765463336675898,273
188,189,91,125,118,190,-1.0577246275509373,157
189,190,173,111,80,119,-1.1360681889343465,389
190,191,254,133,61,131,-0.6249030655173583,472
191,192,228,99,117,122,-1.5217247148817137,343
192,193,112,112,102,163,-0.8766569909041408,230
193,194,145,119,118,190,-1.0489399666913124,267
194,195,280,111,119,101,-0.8508535514939682,414
195,196,290,81,97,183,-1.0810003770561145,389
196,197,101,112,117,116,-0.8829593278479585,256
197,198,145,109,99,128,-1.1578486960440273,294
198,199,181,112,95,98,-0.9002175005052194,408
199,200,271,105,109,110,-0.6762587024484337,396
200,201,278,101,119,165,-0.7032491867884594,331
201,202,200,145,102,118,-0.5490306055203328,308
202,203,280,117,96,122,-0.8464411365666498,463
203,204,286,125,74,196,-0.6419255406092262,439
204,205,192,94,87,151,-0.5266068388073202,307
205,206,220,123,77,104,-0.32226259096358695,455
206,207,78,128,93,91,0.2870381806300232,355
207,208,85,140,81,141,-0.10625362666070771,311
208,209,62,146,70,192,-0.22253115767432677,311
209,210,209,85,117,133,0.4018093706427369,471
210,211,120,88,116,143,0.7585979164728793,424
211,212,236,85,72,107,0.08635961648807616,503
212,213,292,111,63,92,1.1599079731465811,632
213,214,135,120,81,96,0.7876756389377162,455
214,215,77,87,66,132,1.0586779848916164,412
215,216,115,129,102,171,1.26310535640665,400
216,217,219,141,113,197,1.1772413184655306,491
217,218,94,141,83,127,0.9018555635831093,347
218,219,111,86,63,126,1.3362512606834769,476
219,220,234,83,87,147,1.0690888050593297,529
220,221,294,85,74,122,1.3271454174722919,607
221,222,183,137,60,197,1.3526715192322591,509
222,223,77,101,114,148,0.6436728404342216,284
223,224,77,105,62,184,1.1733065822785176,341
224,225,157,82,73,100,0.8308884500991991,493
225,226,93,120,97,157,0.864441056928861,326
226,227,133,139,109,171,0.7866385728239421,301
227,228,79,93,116,157,0.6892137235134036,246
228,229,239,91,60,187,1.0251223403998706,497
229,230,124,91,97,182,0.0547888839755486,353
230,231,177,92,97,177,-0.16209812001839896,382
231,232,299,104,80,111,-0.34067135721211417,469
232,233,296,124,107,155,0.44127995943609594,485
233,234,141,98,88,133,-0.23203124756029683,437
234,235,266,134,64,95,-0.08088073940085727,610
235,236,280,124,108,131,-0.27373080152492935,397
236,237,239,87,69,114,-0.6205174292345288,489
237,238,274,132,87,146,-0.209280000777056,479
238,239,178,134,80,174,-0.6063036371963694,405
239,240,170,111,109,144,-0.7344431813523074,321
240,241,76,130,66,105,-0.678649355849026,396
241,242,239,123,62,184,-0.6067522404421921,376
242,243,170,149,104,103,-1.1731488987135439,339
243,244,165,97,106,128,-0.6731407384854289,407
244,245,254,101,79,117,-0.5359857614940466,355
245,246,282,116,78,185,-1.4205455847264068,395
246,247,52,135,94,181,-0.9165103062616505,190
247,248,152,138,63,140,-1.0841855378052523,390
248,249,247,82,64,138,-0.761172643210011,489
249,250,249,107,60,98,-1.300014006443471,459
250,251,204,114,63,147,-0.3967745579601364,435
251,252,186,140,71,134,-1.3053523078223774,347
252,253,111,133,119,111,-0.8217950301040607,256
253,254,214,142,86,121,-0.5328338354421883,438
254,255,274,86,115,158,-0.7739658008116035,448
255,256,100,128,101,176,-0.717743636580882,205
256,257,283,110,82,158,-0.28793419605337967,465
257,258,221,137,84,131,-0.21598768829023726,467
258,259,201,140,80,142,-0.11875522943078062,487
259,260,256,103,117,185,0.2576065534396866,432
260,261,108,99,111,148,0.002194872226913114,345
261,262,167,116,83,163,0.3351934592260603,459
262,263,209,83,84,128,0.20262404455979013,479
263,264,145,99,104,104,0.20992432629494628,336
264,265,265,139,114,160,0.4826371581841484,561
265,266,282,103,105,118,0.5134931020827049,603
266,267,229,129,91,92,0.6138696078222668,543
267,268,162,128,114,172,1.1725820912343057,376
268,269,111,130,91,99,0.8092249894425415,367
269,270,290,115,64,181,0.7361442410014543,576
270,271,235,145,95,118,0.9793654496404487,518
271,272,101,113,105,168,1.023977255836576,280
272,273,61,115,101,124,0.6439356311217785,269
273,274,88,85,108,95,0.9031869925209007,363
274,275,179,118,101,101,0.8693365201964722,500
275,276,180,121,117,127,0.8833729605728738,515
276,277,162,137,98,166,1.1031145375646063,503
277,278,150,91,75,182,0.8639854272425215,423
278,279,162,82,92,108,1.1168919523866998,504
279,280,233,97,108,156,0.6596245514741544,484
280,281,130,119,80,97,1.1008909308451784,528
281,282,236,100,68,97,0.32649066792427506,511
282,283,162,94,65,173,0.12373617269299975,460
283,284,51,105,110,136,0.40350646672065016,334
284,285,179,87,104,93,0.5297612614948273,445
285,286,269,121,94,140,-0.41364099137557014,454
286,287,103,123,98,174,-0.17963387471961395,366
287,288,136,93,81,156,-0.4225502478133166,294
288,289,278,81,100,134,-0.3117495831449105,362
289,290,273,116,113,97,-0.46171779499394716,373
290,291,274,148,64,176,-0.16445037244283467,470
291,292,178,117,101,105,-0.6956440961032268,409
292,293,196,120,82,166,-0.33607551848003003,365
293,294,175,141,76,156,-0.9175139666992609,391
294,295,179,139,71,98,-0.6075114631216445,403
295,296,102,93,82,149,-0.8664173342443993,246
296,297,221,81,75,167,-0.45197619782101894,336
297,298,267,149,62,166,-1.435813332942382,435
298,299,209,96,89,160,-1.3491573153279472,307
299,300,247,107,116,104,-0.4432221887005383,465
300,301,209,145,81,160,-1.1909213454719585,403
301,302,296,114,68,191,-1.1359572501081732,429
302,303,117,84,88,187,-1.1481731013031686,157
303,304,232,144,106,130,-0.4784500789335417,476
304,305,252,119,96,111,-1.1245480321386405,404
305,306,233,135,82,113,-0.6563875345574982,446
306,307,172,115,72,190,-0.6477512932653174,431
307,308,194,124,91,133,-0.1537684969924375,447
308,309,87,102,105,90,-0.5237096857420273,318
309,310,73,126,111,99,-0.1147338905535794,300
310,311,118,110,106,196,-0.4719015322685066,263
311,312,165,90,107,169,0.6821823116031588,422
312,313,147,89,82,199,0.048658982859210165,364
313,314,247,146,104,161,0.24194470975316199,559
314,315,263,93,76,145,0.8510311946977003,662
315,316,188,89,114,178,0.28872133975220876,387
316,317,289,80,99,139,1.0682794496127388,448
317,318,193,84,80,101,0.5396813059994061,441
318,319,146,99,61,178,0.9500202033174788,535
319,320,250,87,96,170,0.6511793738458675,536
320,321,173,122,65,149,0.4786450921097874,509
321,322,236,80,103,115,1.0593945478475983,514
322,323,119,136,77,199,1.1629128377211113,364
323,324,257,143,89,167,0.5979431514001823,613
324,325,142,107,81,130,0.9078825043273864,400
325,326,52,116,113,125,1.3529365625591265,407
326,327,197,126,92,112,1.1509775026650344,470
327,328,236,116,89,132,0.8164517421502007,516
328,329,213,128,76,95,0.7061983151628741,576
329,330,196,123,102,158,1.4074571634340938,477
330,331,139,135,91,132,0.31443112723024336,408
331,332,244,107,101,114,0.6453630859182132,499
332,333,196,85,110,107,0.128655684622976,327
333,334,197,140,73,151,0.8591675654970492,447
334,335,145,99,117,102,0.3524678033800362,405
335,336,248,81,69,132,0.2927678897183887,501
336,337,101,116,106,167,0.9512043731436121,402
337,338,282,99,119,117,-0.17804180272091996,501
338,339,210,105,110,107,0.40403609396224094,519
339,340,217,108,95,148,-0.3565352386100117,324
340,341,177,80,93,149,-0.42465862431799717,319
341,342,88,114,68,152,0.3267294049424114,407
342,343,131,149,101,146,-0.6163918599096586,346
343,344,153,138,87,181,-1.075434079529366,404
344,345,178,148,70,140,-0.6639351117332096,369
345,346,60,112,73,145,-0.8748049134437563,299
346,347,269,130,98,116,-0.7753272731330513,468
347,348,234,91,114,121,-0.9750955806837431,277
348,349,266,99,106,98,-0.30627843256462306,419
349,350,227,132,113,193,-0.8256881224472727,375
350,351,200,122,78,185,-1.3224893883177453,234
351,352,208,129,113,173,-0.9553448334908987,237
352,353,271,108,74,181,-1.2108307646761638,321
353,354,91,136,87,186,-1.0093303954363009,274
354,355,148,118,83,157,-1.1585882388232593,287
355,356,56,135,67,135,-0.19084830893184812,292
356,357,193,122,102,187,-0.9559261327245697,285
357,358,139,129,68,156,-0.45685335264255555,297
358,359,161,102,106,115,-0.6651085732941504,310
359,360,298,123,92,97,-0.8122471238156052,407
360,361,293,117,92,95,-0.29531009617268866,577
361,362,109,102,78,169,-0.11910811316184981,425
362,363,162,124,62,113,0.04705127957103525,331
363,364,51,131,69,137,-0.7866657463622844,253
364,365,178,129,99,192,-0.24991703384540476,363
365,366,97,87,106,183,0.526582079994117,322
366,367,189,80,101,134,0.07752279825989988,431
367,368,246,87,60,102,0.5256063871367984,523
368,369,86,108,88,158,0.19065733816251795,332
369,370,209,84,109,114,0.8826029888883261,627
370,371,296,126,93,109,1.0278916269697733,586
371,372,58,113,110,171,1.042556837745363,431
372,373,282,144,72,171,1.1952230693592867,621
373,374,148,134,113,155,1.4041862861552759,416
374,375,196,122,60,163,0.6187195779433591,461
375,376,97,109,93,134,0.756107294752645,404
376,377,257,96,88,136,1.2692630710911383,518
377,378,180,105,107,152,1.3317748056492982,434
378,379,197,87,106,165,0.7686389313544755,426
379,380,201,126,72,166,0.7118504230877408,499
380,381,103,125,107,144,0.6897919786740592,472
381,382,169,147,108,164,0.3414553766804731,365
382,383,210,112,112,108,0.36708739351888303,495
383,384,201,80,88,124,0.28893486473174806,372
384,385,165,98,98,192,0.4798352045894636,424
385,386,124,110,83,142,0.5459741267939577,336
386,387,162,93,85,115,0.48464673653524915,488
387,388,249,132,76,199,0.08674698830485417,463
388,389,213,127,66,103,-0.024659454628941105,489
389,390,215,148,72,134,0.03709844854538377,470
390,391,153,141,64,133,-0.569341047400154,345
391,392,133,145,85,177,0.04851649533737179,299
392,393,276,143,108,194,0.031010696661747217,491
393,394,161,149,62,154,-0.6523973633501737,378
394,395,266,142,66,140,-0.6875955945357901,457
395,396,148,112,117,132,-0.2901289907872458,363
396,397,202,120,108,175,-0.7854262254680684,344
397,398,142,127,98,112,-0.64651023210817,311
398,399,195,92,112,145,-0.9131476437934415,451
399,400,177,110,60,108,-0.46812402614133247,456
400,401,159,147,108,171,-0.8239179289506019,339
401,402,131,83,76,165,-0.8284121425222967,274
402,403,243,98,102,144,-0.830108038379924,440
403,404,103,149,84,181,-1.159242994996368,212
404,405,212,92,118,181,-1.1099135585028146,272
405,406,257,102,62,149,-0.7042425508174224,530
406,407,238,80,74,148,-0.8475321768231241,401
407,408,218,133,88,122,-1.176267168237191,365
408,409,277,94,112,108,-0.18657942078366452,453
409,410,210,144,102,117,-0.3697010980516669,477
410,411,117,94,91,141,-0.556776849577651,336
411,412,82,100,85,138,-0.5467734665837641,315
412,413,191,98,119,126,-0.2950021297835094,307
413,414,70,139,75,115,-0.08405963454033388,409
414,415,97,112,84,188,-0.7304369009563405,247
415,416,197,128,113,187,0.6337049128457312,417
416,417,297,114,87,188,-0.11642861249475361,559
417,418,177,123,68,129,0.2387439743909311,485
418,419,185,90,115,169,0.36506495187627436,402
419,420,184,145,115,127,1.0637782376504266,392
420,421,244,125,60,166,0.541627594429145,528
421,422,194,88,88,176,1.1396748465468827,452
422,423,177,82,116,143,0.8705289890094303,464
423,424,82,105,81,111,0.5344184072318721,424
424,425,225,127,75,105,0.9258682660840488,538
425,426,253,145,100,117,0.8994636261709397,539
426,427,236,149,110,124,0.6457206719547843,596
427,428,164,107,103,149,1.1000257049397264,439
428,429,263,105,110,134,1.0066308249549567,464
429,430,168,104,113,135,1.1596353857356168,406
430,431,71,91,100,161,1.028947651305546,311
431,432,287,84,66,197,0.739685373581195,509
432,433,207,127,73,144,1.1159562233403053,596
433,434,87,116,88,175,0.6356643818175874,243
434,435,279,123,78,174,-0.18139040866388023,454
435,436,158,94,78,115,0.7017185426270647,470
436,437,100,122,61,193,0.40184262856096264,377
437,438,231,127,100,174,0.5793623233627557,560
438,439,57,149,104,114,0.9542664078244519,471
439,440,76,125,74,194,0.8476375722319761,313
440,441,76,122,62,154,0.07099980358877794,278
441,442,275,100,70,95,-0.24795455137381817,532
442,443,70,102,112,112,0.05486830432005792,270
443,444,79,126,105,153,-0.350383341847461,237
444,445,146,94,89,176,-0.23707193033845103,338
445,446,77,104,116,132,-0.6629814007118242,250
446,447,160,115,99,196,-0.4928570219243247,274
447,448,241,130,77,112,-0.906714903928834,411
448,449,274,94,110,185,-0.39323472336166315,376
449,450,246,147,107,119,-0.9999771731194385,388
450,451,110,100,61,166,-0.6871252649327184,324
451,452,97,92,91,196,-1.3144464276410703,171
452,453,196,98,67,107,-0.7365896604428449,376
453,454,53,113,81,176,-1.2826240948785135,183
454,455,84,147,65,168,-0.9216469579076473,286
455,456,241,131,71,186,-0.6857485820936584,429
456,457,98,106,106,110,-1.030936686993086,346
457,458,66,108,116,146,-1.2437663159091974,194
458,459,221,107,99,192,-0.7364122735124331,368
459,460,269,114,95,112,-1.0752782855896195,395
460,461,207,87,74,180,-0.8697844279302721,306
461,462,270,95,87,134,-0.5834838603920789,434
462,463,95,115,111,133,-0.15986193589884523,283
463,464,166,109,116,171,-0.4567571659039279,319
464,465,55,97,108,177,-0.34774763408900405,163
465,466,148,81,104,136,-0.018061796200699975,374
466,467,173,128,77,129,-0.10542511125342742,420
467,468,282,83,61,140,0.1906590599498672,578
468,469,86,86,72,131,0.4440967440741991,322
469,470,73,118,104,96,0.14099451920715822,295
470,471,142,92,113,139,-0.6278983031314996,276
471,472,290,110,74,137,0.21934504396812474,526
472,473,95,142,79,173,0.9306693499817499,463
473,474,230,135,88,180,0.6529932238214975,523
474,475,144,121,118,95,0.6467716668927309,523
475,476,148,140,101,180,1.173019363854615,437
476,477,237,121,88,98,0.855058550784242,378
477,478,274,135,62,198,0.3072562809606666,532
478,479,165,115,78,146,0.5193511991235483,465
479,480,240,147,62,120,1.1183032803431248,660
480,481,262,86,113,110,0.9799327175215821,540
481,482,209,133,73,179,1.4291058177468203,538
482,483,264,80,99,129,0.7509612122848002,598
483,484,210,123,118,134,0.8421660140842754,427
484,485,116,124,114,166,0.6201051037352052,344
485,486,177,126,63,138,0.6668056125895214,461
486,487,67,92,118,176,0.1809395777950188,243
487,488,74,101,119,109,0.5474172590256349,419
488,489,283,100,111,190,0.5525040876001892,496
489,490,272,88,70,181,0.4238239193040666,522
490,491,103,105,117,106,0.9994708661623741,321
491,492,107,88,90,117,0.7893610374406532,368
492,493,116,94,102,130,-0.10473316103300256,382
493,494,153,89,91,155,-0.6131810083957728,305
494,495,223,121,86,114,-0.1502967861347925,439
495,496,73,103,89,147,-0.1263626228363683,372
496,497,163,128,102,130,-0.6127501090573841,350
497,498,81,105,61,95,-0.7080158622214783,371
498,499,224,116,108,164,-0.09329825593739638,357
499,500,135,147,68,127,-0.7403881295843822,386
500,501,200,129,87,95,-0.5498356924623766,520
501,502,243,103,90,134,-1.1020755752499922,436
502,503,176,98,119,164,-0.902538163270647,205
503,504,204,139,93,103,-1.0359177487757685,362
504,505,283,118,115,155,-1.173553789067037,362
505,506,179,97,74,129,-0.6461187506415464,446
506,507,267,98,107,92,-1.4166631028899042,318
507,508,66,115,84,188,-0.9026918264446675,189
508,509,153,134,95,186,-1.0774783140732038,220
509,510,210,148,67,113,-0.8105688980746526,395
510,511,186,126,68,108,-0.9879290153187201,324
511,512,92,128,117,107,-0.5628259473179775,384
512,513,295,112,117,153,-1.0304215276467446,363
513,514,225,100,96,177,-0.31585670073820366,434
514,515,88,101,107,198,-0.5767055551334835,229
515,516,270,127,104,124,-0.8632739307483122,422
516,517,219,116,98,151,-0.15054025027168771,383
517,518,296,94,91,90,-0.29897058734285786,547
518,519,75,114,117,189,-0.63288805809719,205
519,520,148,111,111,114,0.09974042512765861,388
520,521,99,90,76,134,0.42251539483863176,329
521,522,202,89,94,138,0.6239563863955901,429
522,523,201,136,96,196,0.24109932226260022,463
523,524,62,104,78,187,0.508318588641492,327
524,525,109,81,103,178,0.5832256495690263,360
525,526,299,143,88,105,1.1100634477121996,574
526,527,184,114,118,187,0.5053641734591054,475
527,528,106,86,66,182,0.683586030232294,358
528,529,85,97,87,108,0.6350399328182654,387
529,530,222,146,68,112,0.5002710857515472,519
530,531,69,121,87,172,1.0452779717416742,477
531,532,114,118,65,114,1.4730983736313301,481
532,533,57,120,88,105,0.9404546624454817,377
533,534,287,103,117,143,0.7281398876351137,536
534,535,193,139,76,162,1.026999728095674,498
535,536,191,125,75,90,1.1117516963172105,541
536,537,253,98,82,131,0.8385470844222396,671
537,538,164,147,90,108,1.2440444654799145,530
538,539,264,121,62,186,0.5048021798848449,534
539,540,192,111,80,123,0.5770317672870912,448
540,541,141,118,85,169,0.6568611181840427,484
541,542,147,115,95,197,0.5826122978291202,481
542,543,115,115,101,193,0.3687733147319797,397
543,544,81,82,96,144,-0.14421031241958526,338
544,545,264,87,112,107,0.8219401015172292,522
545,546,240,149,81,123,-0.07079097451383096,511
546,547,135,120,101,178,-0.08745642467992115,275
547,548,100,147,71,134,-0.05428733633566696,328
548,549,202,92,101,95,-0.5455564958373922,305
549,550,235,128,72,110,-0.44764524578254095,490
550,551,112,139,70,159,-0.7712218180271442,272
551,552,239,81,113,185,-0.5384574357985215,325
552,553,174,139,75,194,-0.8313175427377641,365
553,554,199,84,67,137,-0.7423683077022539,446
554,555,107,123,99,196,-1.1994172295988925,207
555,556,107,106,118,128,-1.183691172887276,279
556,557,135,111,116,120,-1.3804840204830944,299
557,558,98,100,99,195,-1.2058678978959165,148
558,559,229,87,104,99,-1.772057273109442,393
559,560,219,129,118,119,-1.0848389358044033,350
560,561,119,146,61,107,-1.1312138990149303,312
561,562,64,123,89,149,-0.8897429535978968,230
562,563,103,137,89,177,-0.8720737083229229,257
563,564,284,82,71,162,-0.4458599353493384,431
564,565,237,149,69,184,0.029782307261134178,441
565,566,150,81,103,104,-0.32186095429560696,300
566,567,274,123,70,93,-0.7039970235436894,504
567,568,57,81,74,152,-0.612740396956736,249
568,569,102,114,75,129,-0.09400597433582703,384
569,570,109,109,76,98,-0.7443190726594056,314
570,571,285,87,85,198,-0.21509755810437065,462
571,572,157,101,61,98,-0.07144588051315298,481
572,573,54,123,109,115,0.295776125700965,389
573,574,152,137,71,93,0.4234755681297847,563
574,575,245,115,110,170,0.1312367249246145,519
575,576,55,148,85,105,0.34041137353220907,418
576,577,158,110,82,104,0.7015960231809706,553
577,578,273,126,77,188,0.42344646146516396,543
578,579,165,134,91,141,1.11034627860339,492
579,580,143,141,108,158,1.0057364359257286,534
580,581,96,109,97,94,0.9369088901116601,288
581,582,148,134,116,109,1.0522984221696865,442
582,583,104,95,106,168,0.8308746323438113,424
583,584,217,91,62,107,0.8048214474417672,592
584,585,101,96,97,91,0.8725833351583837,532
585,586,193,95,62,182,1.1426988817760098,518
586,587,62,91,89,102,1.0312463116386477,348
587,588,163,87,60,93,0.8082019047776035,485
588,589,173,82,89,131,1.1103305486455113,489
589,590,155,95,104,198,0.7707999391928114,489
590,591,207,109,91,163,0.5405175244943559,559
591,592,196,102,87,150,0.739425111030351,455
592,593,194,84,80,184,0.26415589324430894,428
